week_end,composite_nominal,markets_used,price_jaen,price_bari,price_chania,hicp,composite_real,real_smoothed,z,score_b
2010-06-27,217.8349,"jaen,bari",201.3300,269.0000,,89.4414,243.5504,,,
2010-07-04,215.5666,"jaen,bari",198.3300,269.0000,,89.0582,242.0515,,,
2010-07-11,215.5666,"jaen,bari",198.3300,269.0000,,89.0582,242.0515,,,
2010-07-18,215.3151,"jaen,bari",198.3200,268.0000,,89.0582,241.7691,242.0515,,
2010-07-25,214.1885,"jaen,bari",196.8300,268.0000,,89.0582,240.5041,241.9103,,
2010-08-01,214.1885,"jaen,bari",196.8300,268.0000,,89.2402,240.0135,241.1366,,
2010-08-08,197.2730,"jaen,chania",195.3200,,204.0000,89.2402,221.0584,240.2588,,
2010-08-15,197.2730,"jaen,chania",195.3200,,204.0000,89.2402,221.0584,230.5360,,
2010-08-22,197.2730,"jaen,chania",195.3200,,204.0000,89.2402,221.0584,221.0584,,
2010-08-29,198.4433,"jaen,chania",196.8300,,204.0000,89.2402,222.3698,221.0584,,
2010-09-05,197.2730,"jaen,chania",195.3200,,204.0000,89.5181,220.3723,221.0584,,
2010-09-12,211.9546,"jaen,bari,chania",196.8300,266.0000,204.0000,89.5181,236.7730,221.7141,,
2010-09-19,211.0246,"jaen,bari,chania",195.3300,266.0000,204.0000,89.5181,235.7341,229.0519,,
2010-09-26,211.4184,"jaen,bari,chania",195.3200,268.0000,204.0000,89.5181,236.1740,235.9541,,
2010-10-03,211.0184,"jaen,bari,chania",195.3200,266.0000,204.0000,89.7863,235.0228,235.9541,,
2010-10-10,210.4184,"jaen,bari,chania",195.3200,263.0000,204.0000,89.7863,234.3546,235.3785,,
2010-10-17,210.0184,"jaen,bari,chania",195.3200,261.0000,204.0000,89.7863,233.9091,234.6887,,
2010-10-24,207.8922,"jaen,bari,chania",189.3100,269.0000,204.0000,89.7863,231.5410,234.1318,,
2010-10-31,213.7546,"jaen,bari,chania",196.8300,275.0000,204.0000,89.7863,238.0703,234.1318,,
2010-11-07,213.9546,"jaen,bari,chania",196.8300,276.0000,204.0000,89.8630,238.0898,235.9897,,
2010-11-14,210.4184,"jaen,bari,chania",195.3200,263.0000,204.0000,89.8630,234.1547,236.1125,,
2010-11-21,212.7484,"jaen,bari,chania",196.8200,270.0000,204.0000,89.8630,236.7475,237.4089,,
2010-11-28,217.3484,"jaen,bari,chania",196.8200,293.0000,204.0000,89.8630,241.8664,237.4187,,
2010-12-05,216.5484,"jaen,bari,chania",196.8200,289.0000,204.0000,90.4091,239.5205,238.1340,,
2010-12-12,216.9484,"jaen,bari,chania",196.8200,291.0000,204.0000,90.4091,239.9630,239.7417,,
2010-12-19,218.3484,"jaen,bari,chania",196.8200,298.0000,204.0000,90.4091,241.5115,240.7372,,
2010-12-26,218.4146,"jaen,bari,chania",199.8300,298.0000,194.0000,90.4091,241.5847,240.7372,,
2011-01-02,218.4146,"jaen,bari,chania",199.8300,298.0000,194.0000,89.7576,243.3383,241.5481,,
2011-01-09,218.4146,"jaen,bari,chania",199.8300,298.0000,194.0000,89.7576,243.3383,242.4615,,
2011-01-16,216.8546,"jaen,bari,chania",196.8300,304.0000,189.0000,89.7576,241.6003,242.4693,,
2011-01-23,218.9208,"jaen,bari,chania",199.8400,305.0000,189.0000,89.7576,243.9023,243.3383,,
2011-01-30,220.2008,"jaen,bari,chania",199.8400,306.0000,195.0000,89.7576,245.3283,243.6203,,
2011-02-06,220.0008,"jaen,bari,chania",199.8400,305.0000,195.0000,90.1408,244.0634,243.9828,,
2011-02-13,220.2008,"jaen,bari,chania",199.8400,306.0000,195.0000,90.1408,244.2853,244.1743,,
2011-02-20,222.0608,"jaen,bari,chania",202.8400,306.0000,195.0000,90.1408,246.3487,244.8068,,
2011-02-27,221.5246,"jaen,bari,chania",201.3300,308.0000,195.0000,90.1408,245.7539,245.0196,,
2011-03-06,221.4446,"jaen,bari,chania",201.3300,313.0000,189.0000,91.3577,242.3930,245.0196,,
2011-03-13,221.8446,"jaen,bari,chania",201.3300,315.0000,189.0000,91.3577,242.8308,244.2923,,
