outlook_year,andalusia,apulia,crete,score_c,andalusia_water_mm,andalusia_heat_days,andalusia_coverage,apulia_water_mm,apulia_heat_days,apulia_coverage,crete_water_mm,crete_heat_days,crete_coverage
2015,34.0000,42.0000,72.0000,42.0000,424.0000,2,0.9350,461.7000,0,0.9350,968.8000,0,0.9350
2016,33.0000,56.0000,25.0000,36.0000,467.3000,2,0.9350,562.6000,0,0.9350,433.0000,0,0.9350
2017,18.0000,33.0000,75.0000,31.0000,453.6000,6,0.9350,401.0000,0,0.9350,1176.1000,0,0.9350
2018,65.0000,49.0000,42.0000,58.0000,623.8000,0,0.9350,496.5000,0,0.9350,651.4000,0,0.9350
2019,39.0000,71.0000,75.0000,52.0000,348.2000,1,0.9350,646.2000,0,0.9350,1755.3000,0,0.9350
2020,55.0000,55.0000,33.0000,51.0000,488.4000,0,0.9350,535.3000,0,0.9350,1132.2000,3,0.9350
2021,16.0000,54.0000,61.0000,32.0000,401.6000,6,0.9350,529.9000,0,0.9350,1139.0000,0,0.9350
2022,24.0000,58.0000,63.0000,38.0000,467.4000,9,0.9350,547.0000,0,0.9350,1245.1000,0,0.9350
2023,50.0000,75.0000,57.0000,56.0000,386.1000,0,0.9350,700.2000,0,0.9350,1085.1000,0,0.9350
2024,42.0000,29.0000,22.0000,36.0000,459.6000,5,0.9350,399.7000,0,0.9350,877.0000,2,0.9350
2025,45.0000,30.0000,49.0000,43.0000,559.3000,9,0.9350,565.1000,1,0.9350,850.3000,0,0.9350
2026,52.0000,64.0000,54.0000,55.0000,593.5000,9,0.9350,621.4000,0,0.9350,975.8000,0,0.9350
